algorithm,n_nodes,c,seed,total_time,K,history
ns_binary_search,1000,10,7,1800.0887,69.0,"[[1000, 0.0], [500, 0.0259], [250, 0.0419], [125, 0.0578], [93, 265.986], [77, 438.0754], [69, 736.3521], [69, 1800.0887]]"
betweenness,1000,20,7,4.2089,509.0,"[[1000, 0.0], [509, 0.8388], [509, 4.2089]]"
degree,1000,20,7,0.0185,508.0,"[[1000, 0.0], [508, 0.0047], [508, 0.0185]]"
degree_connected,1000,20,7,1.3664,508.0,"[[1000, 0.0], [508, 0.3362], [508, 1.3664]]"
degree_discount,1000,20,7,0.2256,507.0,"[[1000, 0.0], [507, 0.0554], [507, 0.2256]]"
degree_threshold,1000,20,7,0.0112,502.0,"[[1000, 0.0], [502, 0.0056], [502, 0.0112]]"
goldberg_liu,1000,20,7,,,null
high_thetas,1000,20,7,0.1916,96.0,"[[1000, 0.0], [500, 0.0251], [250, 0.0412], [125, 0.0572], [109, 0.0961], [101, 0.1216], [97, 0.1503], [96, 0.1916], [96, 0.1916]]"
ns_binary_search,1000,20,7,1800.0533,82.0,"[[1000, 0.0], [500, 0.0253], [250, 0.0415], [125, 0.0575], [93, 257.279], [82, 565.9383], [82, 1800.0533]]"
betweenness,2000,1,7,38.392,193.0,"[[2000, 0.0], [1000, 3.4371], [500, 6.8964], [250, 10.3728], [218, 20.8418], [202, 24.3518], [194, 27.8904], [193, 38.392], [193, 38.392]]"
degree,2000,1,7,0.7469,196.0,"[[2000, 0.0], [1000, 0.015], [500, 0.0386], [250, 0.0997], [218, 0.2731], [202, 0.3911], [198, 0.5688], [196, 0.6892], [196, 0.7469]]"
degree_connected,2000,1,7,5.2246,204.0,"[[2000, 0.0], [1000, 2.4565], [500, 3.2035], [250, 3.4819], [218, 4.0302], [210, 4.4934], [206, 4.7571], [204, 5.0172], [204, 5.2246]]"
degree_discount,2000,1,7,0.7661,503.0,"[[2000, 0.0], [1000, 0.1862], [522, 0.2942], [511, 0.4092], [505, 0.5315], [503, 0.7661], [503, 0.7661]]"
degree_threshold,2000,1,7,0.8254,110.0,"[[2000, 0.0], [1000, 0.014], [500, 0.0297], [250, 0.0559], [125, 0.1385], [117, 0.4465], [113, 0.5632], [111, 0.6916], [110, 0.8254], [110, 0.8254]]"
goldberg_liu,2000,1,7,,,null
high_thetas,2000,1,7,0.7679,147.0,"[[2000, 0.0], [1000, 0.0902], [500, 0.1477], [250, 0.1892], [187, 0.3016], [156, 0.3833], [148, 0.5503], [147, 0.7679], [147, 0.7679]]"
ns_binary_search,2000,1,7,3663.2968,117.0,"[[2000, 0.0], [1000, 0.0895], [500, 0.1468], [250, 0.1888], [125, 39.5618], [121, 2214.7403], [119, 2600.6631], [118, 3102.1515], [117, 3102.2529], [117, 3663.2968]]"
betweenness,2000,5,7,24.3144,517.0,"[[2000, 0.0], [1000, 3.4595], [517, 6.9332], [517, 24.3144]]"
degree,2000,5,7,0.1372,517.0,"[[2000, 0.0], [1000, 0.0158], [517, 0.0361], [517, 0.1372]]"
degree_connected,2000,5,7,3.9574,502.0,"[[2000, 0.0], [1000, 2.4599], [502, 3.2073], [502, 3.9574]]"
degree_discount,2000,5,7,0.8557,520.0,"[[2000, 0.0], [1000, 0.1884], [523, 0.3], [520, 0.6316], [520, 0.8557]]"
degree_threshold,2000,5,7,0.4536,143.0,"[[2000, 0.0], [1000, 0.0143], [500, 0.0305], [250, 0.059], [143, 0.1446], [143, 0.4536]]"
goldberg_liu,2000,5,7,,,null
high_thetas,2000,5,7,0.734,150.0,"[[2000, 0.0], [1000, 0.0878], [500, 0.144], [250, 0.1863], [187, 0.2734], [156, 0.362], [152, 0.5732], [150, 0.682], [150, 0.734]]"
ns_binary_search,2000,5,7,3600.0272,121.0,"[[2000, 0.0], [1000, 0.0899], [500, 0.1475], [250, 0.1907], [125, 63.4108], [123, 2854.5726], [122, 3443.129], [121, 3589.4229], [121, 3600.0272]]"
betweenness,2000,10,7,17.3419,1013.0,"[[2000, 0.0], [1013, 3.4582], [1013, 17.3419]]"
degree,2000,10,7,0.0689,1013.0,"[[2000, 0.0], [1013, 0.0145], [1013, 0.0689]]"
degree_connected,2000,10,7,12.4379,1013.0,"[[2000, 0.0], [1013, 2.455], [1013, 12.4379]]"
degree_discount,2000,10,7,0.5317,1003.0,"[[2000, 0.0], [1003, 0.1878], [1003, 0.5317]]"
degree_threshold,2000,10,7,0.0457,502.0,"[[2000, 0.0], [1000, 0.014], [502, 0.0299], [502, 0.0457]]"
goldberg_liu,2000,10,7,,,null
high_thetas,2000,10,7,0.6952,153.0,"[[2000, 0.0], [1000, 0.0878], [500, 0.1441], [250, 0.187], [187, 0.2674], [156, 0.3565], [154, 0.5919], [153, 0.6952], [153, 0.6952]]"
ns_binary_search,2000,10,7,3600.0536,125.0,"[[2000, 0.0], [1000, 0.0878], [500, 0.1449], [250, 0.1888], [128, 523.0512], [126, 1312.9627], [125, 3426.3595], [125, 3600.0536]]"
betweenness,2000,20,7,17.2184,1013.0,"[[2000, 0.0], [1013, 3.4392], [1013, 17.2184]]"
degree,2000,20,7,0.0705,1013.0,"[[2000, 0.0], [1013, 0.0142], [1013, 0.0705]]"
degree_connected,2000,20,7,12.4398,1013.0,"[[2000, 0.0], [1013, 2.4554], [1013, 12.4398]]"
degree_discount,2000,20,7,0.6969,1007.0,"[[2000, 0.0], [1007, 0.1837], [1007, 0.6969]]"
degree_threshold,2000,20,7,0.0525,1006.0,"[[2000, 0.0], [1006, 0.0132], [1006, 0.0525]]"
goldberg_liu,2000,20,7,,,null
high_thetas,2000,20,7,0.6824,166.0,"[[2000, 0.0], [1000, 0.0887], [500, 0.145], [250, 0.1874], [187, 0.2691], [171, 0.3868], [167, 0.5096], [166, 0.6824], [166, 0.6824]]"
ns_binary_search,2000,20,7,3600.2311,142.0,"[[2000, 0.0], [1000, 0.0892], [500, 0.1464], [250, 0.1897], [187, 450.3166], [156, 450.5139], [142, 1080.721], [142, 3600.2311]]"
